TAM,BUBBLE_SORT,INSERTION_SORT,MERGE_SORT
25,0.000918,0.000508,0.002031
100,0.000337,0.000083,0.000220
1000,0.035725,0.008382,0.002750
5000,0.868021,0.214634,0.012472
10000,3.443485,0.847719,0.025618
12500,5.372491,1.324643,0.033374
15000,7.706371,1.891317,0.039176
17500,10.509573,2.623069,0.046603
20000,13.698331,3.394172,0.053665
